Feature	COPF
O-methyl phosphoramidate modification in capsular polysaccharide	67
Hydrogenophilaceae	67
Syntrophotaleaceae	67
Natranaerobiaceae	67
Hyaluronate utilization	67
Desulfurisporaceae	67
Nanosyncoccacae	67
Mcinerneyibacteriaceae	67
Zhaonellaceae	68
Anaerobic Oxidative Degradation of L-Ornithine	68
Rubritaleaceae	68
Nanosynbacteraceae	68
Nanoperiomorbaceae	68
Chloroflexaceae	68
F0F1-type ATP synthase	68
Selenomonadaceae	68
Parvicellaceae	68
Saccharimonadaceae	68
Microvenatoraceae	68
Izemoplasmataceae	68
Macromolecular synthesis operon	68
Kiritimatiellaceae	68
Cyclonatronaceae	68
Gottschalkiaceae	69
Geoalkalibacteraceae	69
Flavobacteriaceae	69
AMP to 3-phosphoglycerate	69
Desulfatirhabdiaceae	69
Rubricoccaceae	69
Caldicoprobacteraceae	69
Sumerlaeaceae	69
Thermoflexaceae	69
Nanogingivalaceae	69
Thermotaleaceae	69
Blattabacteriaceae	69
DNA sulfur modification cluster	69
Absconditicoccaceae	69
Thermoanaerobaculaceae	69
Crenotrichaceae	69
Anaerohalosphaeraceae	69
Membrane bound hydrogenase Mbh	69
Endomicrobiaceae	69
Membrane bound hydrogenase Mbh -- gjo	69
Desulfosalsimonadaceae	69
Desulfosudaceae	69
Treponemataceae	69
Terrimicrobiaceae	70
Siderophore Mycobactin	70
SpoVS protein family	70
Particulate methane monooxygenase (pMMO)	70
Outer membrane proteases (Omptins)	70
Sulfhydrogenase	70
Mycobacterial signal transduction system MprAB required for persistent infections	70
Vibrioferrin synthesis	70
Hyaluronic Acid-containing Cell Walls	70
Chromulinivoraceae	70
Lujinxingiaceae	70
Corynebacteriaceae	70
Energy-conserving hydrogenase (ferredoxin)	70
Caminicellaceae	70
Calderihabitantaceae	70
Yeguiaceae	70
Laspinemataceae	70
Tepidiformaceae	70
Chroococcidiopsidaceae	70
Halothecacae	70
Amoebophilaceae	70
Raineyaceae	70
Auribacteraceae	70
Caldisericaceae	70
Oculatellaceae	70
Dermocarpellaceae	70
Puniceispirillaceae	70
Vulgatibacteraceae	70
Scalinduaceae	70
Petrachlorosaceae	70
Prochlorococcaceae	70
Thermostichaceae	70
Azoamicaceae	70
Arenicellaceae	70
Litorivicinaceae	70
Resistance to Ethambutol	70
Aminobacteriaceae	70
Thiohalophilaceae	70
Salinarimonadaceae	70
Casimicrobiaceae	70
Verrucomicrobia subdivision 6	70
Microscillaceae	71
Parilichlamydiaceae	71
Lactobacillaceae	71
Mycobacterial lipid and multidrug efflux system proteins MmpL, MmpS	71
Holophagaceae	71
Atribacteraceae	71
Bacteriocins in Lactobacilli	71
ABC transporter tungstate (TC 3.A.1.6.2)	72
Lacipirellulaceae	72
Deferrisomataceae	72
Hapalosiphonaceae	72
Quorum-sensing related cluster	72
Prenylated indole derivatives in actinomycetes	72
Nodosilineaceae	72
Hydrogen-sensing hydrogenase system	72
Usitatibacteraceae	72
Sulphoglycolysis	72
Aquificaceae	72
Armatimonadaceae	72
Sox sulfur oxidation genes	72
Desulfovibrio high-molecular-weight cytochrome cluster	72
Chitobiose	72
G-protein-coupled receptor (GPCR) system in Actinobacteria	72
Sporulation proteins SpoVA cluster	72
Sirenicapillariaceae	72
Microcoleaceae	72
Chroococcaceae	72
Thermotomaculaceae	72
Trueperaceae	72
Methylothermaceae	72
Geminocystaceae	72
Clavichlamydiaceae	72
Aliterellaceae	72
Actinopolysporaceae	72
L-Amino acid oxidases: lysine-epsilon oxidase LodA	72
Lasso peptide maturation cluster	72
Baekduiaceae	72
Lawsonellaceae	72
Mycobacteriaceae	72
Prochlorotrichaceae	72
DNA phosphorothioation-dependent restriction system DptFGH	72
Termititenacaceae	72
Nitratiruptoraceae	72
Hydrogenedentaceae	72
Multiple Antibiotic Resistance MAR locus	72
Devosiaceae	72
Hyphomonadaceae	72
Bartonellaceae	72
Rhabdochlamydiaceae	72
RNA polymerase, archaeal	72
Desulfohalobiaceae	72
Tetracycline resistance, ribosomal protection type	73
Microcystaceae	73
Kytococcaceae	73
Carnitine operon	73
Sporichthyaceae	73
Nitriliruptoraceae	73
Thermogemmatisporaceae	73
Kribbellaceae	73
