Predictor	Feature	Importance
Mean squared error for Days Since First Sample using regressor is 12917.49177528149
Features appearing at least once
CS_mucoid	COPF 99	0.03392516084210736
CS_mucoid	COPF 46	0.028343996869653065
CS_mucoid	COPF 98	0.028285643448534892
CS_mucoid	COPF 93	0.02743961747463897
CS_mucoid	COPF 89	0.02678402736160487
CS_mucoid	COPF 64	0.024433706356753584
CS_mucoid	COPF 40	0.02308368862575913
CS_mucoid	COPF 22	0.0204949105028824
CS_mucoid	COPF 145	0.020027684109562773
CS_mucoid	COPF 118	0.01963303003003828
CS_mucoid	COPF 135	0.018689607426686444
CS_mucoid	COPF 38	0.018239138465481825
CS_mucoid	COPF 147	0.017888536453380056
CS_mucoid	COPF 45	0.017333321271501903
CS_mucoid	COPF 62	0.01655268822909771
CS_mucoid	COPF 116	0.01652795873124543
CS_mucoid	COPF 96	0.01502584026871393
CS_mucoid	COPF 115	0.013554995148418512

Mean squared error for CS_non-mucoid using classifier is 0.11538461538461539
Features appearing at least once
CS_non-mucoid	COPF 45	0.10862495399924359
CS_non-mucoid	COPF 27	0.10619192218554498
CS_non-mucoid	COPF 24	0.10346688421401258
CS_non-mucoid	COPF 113	0.0463631057128565
CS_non-mucoid	COPF 107	0.039315253895405806
CS_non-mucoid	COPF 43	0.031958042699852536
CS_non-mucoid	COPF 135	0.02621139208086584
CS_non-mucoid	COPF 9	0.021886909612215785
CS_non-mucoid	COPF 52	0.02042071150172278
CS_non-mucoid	COPF 11	0.019499735411162355
CS_non-mucoid	COPF 105	0.01949607442935477
CS_non-mucoid	COPF 36	0.018685076493717718
CS_non-mucoid	COPF 64	0.017592526794588156
CS_non-mucoid	COPF 38	0.017481651441106832
CS_non-mucoid	COPF 22	0.017008348920086406
CS_non-mucoid	COPF 44	0.015161552837395457
CS_non-mucoid	COPF 10	0.015068449884224634
CS_non-mucoid	COPF 134	0.014894031867750436
CS_non-mucoid	COPF 23	0.014596367054399638
CS_non-mucoid	COPF 96	0.014426187704056771

Mean squared error for CS_Pseudomonas aeruginosa using classifier is 0.15384615384615385
Features appearing at least once
CS_Pseudomonas aeruginosa	COPF 27	0.06436072527870033
CS_Pseudomonas aeruginosa	COPF 123	0.04001074076201538
CS_Pseudomonas aeruginosa	COPF 22	0.030052654051043806
CS_Pseudomonas aeruginosa	COPF 60	0.022778444012490465
CS_Pseudomonas aeruginosa	COPF 41	0.022271284408107942
CS_Pseudomonas aeruginosa	COPF 18	0.02222897008224653
CS_Pseudomonas aeruginosa	COPF 64	0.018131599166920743
CS_Pseudomonas aeruginosa	COPF 129	0.018067520398116165
CS_Pseudomonas aeruginosa	COPF 147	0.01738642080165069
CS_Pseudomonas aeruginosa	COPF 74	0.015890207122119165
CS_Pseudomonas aeruginosa	COPF 48	0.015479246708524118
CS_Pseudomonas aeruginosa	COPF 118	0.014550537349707692
CS_Pseudomonas aeruginosa	COPF 19	0.014445712830871388
CS_Pseudomonas aeruginosa	COPF 57	0.013686814196203398
CS_Pseudomonas aeruginosa	COPF 53	0.013629967570023329
CS_Pseudomonas aeruginosa	COPF 73	0.012960469811275986
CS_Pseudomonas aeruginosa	COPF 81	0.012072261143450414
CS_Pseudomonas aeruginosa	COPF 124	0.011482359278987095
CS_Pseudomonas aeruginosa	COPF 38	0.011477901949866408
CS_Pseudomonas aeruginosa	COPF 35	0.011145305613391707

Mean squared error for CS_Oral flora using classifier is 0.2692307692307692
Features appearing at least once
CS_Oral flora	COPF 111	0.050062659548423816
CS_Oral flora	COPF 124	0.04162403370957718
CS_Oral flora	COPF 69	0.028252581314917872
CS_Oral flora	COPF 92	0.02789761943386094
CS_Oral flora	COPF 125	0.025789600644285864
CS_Oral flora	COPF 7	0.024531487666415174
CS_Oral flora	COPF 112	0.02322960467866943
CS_Oral flora	COPF 97	0.018951913369410704
CS_Oral flora	COPF 100	0.018553570435488047
CS_Oral flora	COPF 29	0.01843193174393033
CS_Oral flora	COPF 78	0.01740236752141986
CS_Oral flora	COPF 74	0.016864283178804087
CS_Oral flora	COPF 11	0.01658389281528634
CS_Oral flora	COPF 82	0.015917726211722293
CS_Oral flora	COPF 51	0.01573342202662914
CS_Oral flora	COPF 150	0.014347061084159453
CS_Oral flora	COPF 98	0.01430750831863241
CS_Oral flora	COPF 85	0.014254236408095674
CS_Oral flora	COPF 57	0.014243947243072904
CS_Oral flora	COPF 143	0.014236860665345784

Mean squared error for CS_Stenophotomonas maltophilia using classifier is 0.07692307692307693
Features appearing at least once
CS_Stenophotomonas maltophilia	COPF 140	0.059281138243324545
CS_Stenophotomonas maltophilia	COPF 83	0.052239956423162176
CS_Stenophotomonas maltophilia	COPF 32	0.049728246498394774
CS_Stenophotomonas maltophilia	COPF 99	0.04393755458839695
CS_Stenophotomonas maltophilia	COPF 91	0.0435374418791999
CS_Stenophotomonas maltophilia	COPF 72	0.027230022012840204
CS_Stenophotomonas maltophilia	COPF 112	0.027084562981768055
CS_Stenophotomonas maltophilia	COPF 131	0.025854616631575383
CS_Stenophotomonas maltophilia	COPF 121	0.023752390234275826
CS_Stenophotomonas maltophilia	COPF 88	0.023479464573254057
CS_Stenophotomonas maltophilia	COPF 52	0.02206733433673228
CS_Stenophotomonas maltophilia	COPF 125	0.021853311530863218
CS_Stenophotomonas maltophilia	COPF 57	0.021340820876857354
CS_Stenophotomonas maltophilia	COPF 17	0.019175849400477958
CS_Stenophotomonas maltophilia	COPF 33	0.017253392971576704
CS_Stenophotomonas maltophilia	COPF 103	0.016462303610332765
CS_Stenophotomonas maltophilia	COPF 4	0.016169390842208118
CS_Stenophotomonas maltophilia	COPF 78	0.015322503559129931
CS_Stenophotomonas maltophilia	COPF 87	0.014953752548133501
